Season Start,Season End,Accumulated Snowfall,Pass,LaNina
2024,2025,331,Stevens,false
2023,2024,318,Stevens,false
2022,2023,391,Stevens,true
2021,2022,530,Stevens,true
2020,2021,527,Stevens,true
2019,2020,497,Stevens,false
2018,2019,335,Stevens,false
2017,2018,525,Stevens,true
2016,2017,470,Stevens,true
2015,2016,450,Stevens,false
2014,2015,200,Stevens,false
2013,2014,471,Stevens,true
2012,2013,540,Stevens,false
2011,2012,554,Stevens,true
2010,2011,548,Stevens,false
2009,2010,379,Stevens,false
2008,2009,435,Stevens,true
2007,2008,606,Stevens,true
2006,2007,292,Stevens,true
2005,2006,327,Stevens,false
2004,2005,183,Stevens,true
