Washington 12-Month Period Average Precipitation,Value (Inches)
189512,35.76
189601,36.78
189602,38.89
189603,38.8
189604,40.02
189605,40.19
189606,40.88
189607,40.57
189608,41.45
189609,40.31
189610,42.92
189611,50.6
189612,49.17
189701,46.15
189702,47.33
189703,49.58
189704,47.13
189705,45.47
189706,47.04
189707,48.45
189708,47.93
189709,48.47
189710,48.3
189711,48.59
189712,50.58
189801,48.25
189802,48.67
189803,45.8
189804,45.89
189805,46.09
189806,45.82
189807,44.83
189808,44.84
189809,45.51
189810,45.59
189811,40.12
189812,35.08
189901,40.22
189902,41.42
189903,42.13
189904,44.38
189905,45.23
189906,44.1
189907,43.91
189908,46.08
189909,45.16
189910,47.07
189911,50.81
189912,52.08
190001,48.83
190002,45.89
190003,47.87
190004,46.24
190005,46.65
190006,47.79
190007,48
190008,46.62
190009,47.05
190010,48.44
190011,43.65
190012,45.41
190101,47.06
190102,48.66
190103,46.82
190104,48.22
190105,47.3
190106,46.73
190107,46.68
190108,45.53
190109,46.43
190110,42.4
190111,45.45
190112,42.06
190201,39.56
190202,42.47
190203,43.89
190204,44.1
190205,44.7
190206,43.71
190207,45.06
190208,45.47
190209,44.37
190210,44.47
190211,45.75
190212,50.51
190301,53.41
190302,46.43
190303,46.27
190304,44.56
190305,43.57
190306,44.9
190307,44.02
190308,44.73
190309,46.13
190310,46.96
190311,47.66
190312,42.65
190401,41.11
190402,47.43
190403,51.08
190404,51.64
190405,50.48
190406,49.8
190407,49.78
190408,48.93
190409,46.3
190410,45.99
190411,42.95
190412,45.44
190501,45.02
190502,39.35
190503,36.06
190504,34.45
190505,37.07
190506,39.02
190507,38.53
190508,38.79
190509,41.36
190510,44.09
190511,40.68
190512,39.66
190601,39.83
190602,41.71
190603,39.59
190604,39.24
190605,39.66
190606,38.91
190607,38.58
190608,38.29
190609,38.28
190610,37.42
190611,43.75
190612,45.7
190701,45.79
190702,46.46
190703,47.22
190704,49.35
190705,47.18
190706,45.95
190707,46.71
190708,47.97
190709,47.29
190710,43.8
190711,40.21
190712,40.24
190801,39.35
190802,38.51
190803,40.75
190804,40.57
190805,41.71
190806,41.08
190807,41.29
190808,40.79
190809,38.63
190810,41.82
190811,39.94
190812,37.31
190901,39.61
190902,41.17
190903,38.09
190904,36.46
190905,35.79
190906,35.77
190907,36.34
190908,35.53
190909,36.95
190910,36.11
190911,44.74
190912,44.44
191001,43.87
191002,43.62
191003,45.07
191004,46.29
191005,46.03
191006,46.35
191007,44.73
191008,44.85
191009,44.67
191010,46.1
191011,42.45
191012,43.17
191101,42.27
191102,39.19
191103,36.89
191104,35.81
191105,38.01
191106,37.9
191107,38.08
191108,38.41
191109,40.51
191110,36.84
191111,34.55
191112,33.92
191201,35.91
191202,37.72
191203,37.95
191204,39.23
191205,37.73
191206,38.6
191207,39.44
191208,41.87
191209,39.38
191210,42.11
191211,41.59
191212,43.63
191301,43.42
191302,41.02
191303,42.13
191304,41.16
191305,41.01
191306,42.26
191307,41.88
191308,39.33
191309,40.65
191310,40.78
191311,41.17
191312,37.28
191401,40.55
191402,42.05
191403,41.78
191404,43.08
191405,42.06
191406,40.84
191407,40.42
191408,39.84
191409,40.75
191410,41.13
191411,40.44
191412,39.82
191501,33.43
191502,33.44
191503,33.72
191504,33.73
