Washington 12-Month Period Average Precipitation,Value (Inches)
12-1895,35.76
01-1896,36.78
02-1896,38.89
03-1896,38.8
04-1896,40.02
05-1896,40.19
06-1896,40.88
07-1896,40.57
08-1896,41.45
09-1896,40.31
10-1896,42.92
11-1896,50.6
12-1896,49.17
01-1897,46.15
02-1897,47.33
03-1897,49.58
04-1897,47.13
05-1897,45.47
06-1897,47.04
07-1897,48.45
08-1897,47.93
09-1897,48.47
10-1897,48.3
11-1897,48.59
12-1897,50.58
01-1898,48.25
02-1898,48.67
03-1898,45.8
04-1898,45.89
05-1898,46.09
06-1898,45.82
07-1898,44.83
08-1898,44.84
09-1898,45.51
10-1898,45.59
11-1898,40.12
12-1898,35.08
01-1899,40.22
02-1899,41.42
03-1899,42.13
04-1899,44.38
05-1899,45.23
06-1899,44.1
07-1899,43.91
08-1899,46.08
09-1899,45.16
10-1899,47.07
11-1899,50.81
12-1899,52.08
01-1900,48.83
02-1900,45.89
03-1900,47.87
04-1900,46.24
05-1900,46.65
06-1900,47.79
07-1900,48.0
08-1900,46.62
09-1900,47.05
10-1900,48.44
11-1900,43.65
12-1900,45.41
01-1901,47.06
02-1901,48.66
03-1901,46.82
04-1901,48.22
05-1901,47.3
06-1901,46.73
07-1901,46.68
08-1901,45.53
09-1901,46.43
10-1901,42.4
11-1901,45.45
12-1901,42.06
01-1902,39.56
02-1902,42.47
03-1902,43.89
04-1902,44.1
05-1902,44.7
06-1902,43.71
07-1902,45.06
08-1902,45.47
09-1902,44.37
10-1902,44.47
11-1902,45.75
12-1902,50.51
01-1903,53.41
02-1903,46.43
03-1903,46.27
04-1903,44.56
05-1903,43.57
06-1903,44.9
07-1903,44.02
08-1903,44.73
09-1903,46.13
10-1903,46.96
11-1903,47.66
12-1903,42.65
01-1904,41.11
02-1904,47.43
03-1904,51.08
04-1904,51.64
05-1904,50.48
06-1904,49.8
07-1904,49.78
08-1904,48.93
09-1904,46.3
10-1904,45.99
11-1904,42.95
12-1904,45.44
01-1905,45.02
02-1905,39.35
03-1905,36.06
04-1905,34.45
05-1905,37.07
06-1905,39.02
07-1905,38.53
08-1905,38.79
09-1905,41.36
10-1905,44.09
11-1905,40.68
12-1905,39.66
01-1906,39.83
02-1906,41.71
03-1906,39.59
04-1906,39.24
