Washington 12-Month Period Average Temperature,Value (Fahrenheit)
12-1895,45.2
01-1896,45.5
02-1896,45.6
03-1896,45.5
04-1896,45.2
05-1896,45.1
06-1896,45.0
07-1896,45.4
08-1896,45.5
09-1896,45.7
10-1896,45.7
11-1896,45.2
12-1896,45.4
01-1897,45.2
02-1897,44.9
03-1897,44.5
04-1897,45.0
05-1897,45.6
06-1897,45.5
07-1897,45.0
08-1897,45.3
09-1897,45.3
10-1897,45.3
11-1897,45.7
12-1897,45.3
01-1898,45.2
02-1898,45.6
03-1898,45.9
04-1898,45.8
05-1898,45.5
06-1898,45.5
07-1898,45.8
08-1898,45.8
09-1898,46.0
10-1898,45.9
11-1898,45.9
12-1898,45.7
01-1899,45.9
02-1899,45.2
03-1899,45.2
04-1899,45.0
05-1899,44.6
06-1899,44.4
07-1899,44.5
08-1899,43.8
09-1899,43.8
10-1899,43.8
11-1899,44.5
12-1899,45.1
01-1900,45.5
02-1900,45.8
03-1900,46.4
04-1900,46.7
05-1900,47.1
06-1900,47.6
07-1900,47.5
08-1900,47.6
09-1900,47.4
10-1900,47.4
11-1900,46.7
12-1900,47.0
01-1901,46.6
02-1901,46.5
03-1901,46.2
04-1901,45.8
05-1901,45.8
06-1901,45.2
07-1901,45.0
08-1901,45.4
09-1901,45.3
10-1901,45.8
11-1901,46.2
12-1901,45.8
01-1902,45.8
02-1902,46.1
03-1902,46.0
04-1902,46.0
05-1902,46.0
06-1902,46.2
07-1902,46.2
08-1902,45.9
09-1902,46.1
10-1902,45.8
11-1902,45.5
12-1902,45.3
01-1903,45.5
02-1903,45.0
03-1903,44.8
04-1903,44.7
05-1903,44.6
06-1903,45.0
07-1903,45.0
08-1903,45.0
09-1903,44.9
10-1903,44.8
11-1903,44.8
12-1903,44.9
01-1904,44.9
02-1904,45.1
03-1904,45.0
04-1904,45.4
05-1904,45.4
06-1904,45.1
07-1904,45.4
08-1904,45.5
09-1904,45.9
10-1904,46.0
11-1904,46.5
12-1904,46.6
01-1905,46.5
02-1905,46.6
03-1905,47.3
04-1905,47.2
05-1905,47.2
06-1905,47.2
07-1905,47.3
08-1905,47.2
09-1905,47.1
10-1905,46.6
11-1905,46.1
12-1905,45.9
01-1906,46.0
02-1906,46.3
03-1906,45.8
04-1906,46.0
05-1906,46.1
06-1906,45.9
07-1906,46.3
08-1906,46.3
09-1906,46.3
10-1906,46.8
11-1906,46.8
12-1906,46.9
01-1907,45.9
02-1907,45.8
03-1907,45.7
04-1907,45.3
05-1907,45.4
06-1907,45.6
07-1907,45.1
08-1907,44.7
09-1907,44.7
10-1907,44.9
11-1907,45.2
12-1907,45.2
01-1908,46.2
02-1908,46.1
03-1908,46.2
04-1908,46.4
05-1908,46.0
06-1908,46.0
07-1908,46.2
08-1908,46.5
09-1908,46.5
10-1908,46.2
11-1908,46.2
12-1908,45.9
01-1909,45.1
02-1909,45.2
03-1909,45.3
04-1909,45.1
05-1909,45.1
06-1909,45.2
07-1909,44.8
08-1909,44.7
09-1909,44.8
10-1909,44.9
11-1909,44.6
12-1909,44.3
01-1910,44.8
02-1910,44.3
03-1910,44.6
04-1910,45.0
05-1910,45.4
06-1910,45.3
07-1910,45.6
08-1910,45.4
09-1910,45.2
10-1910,45.4
11-1910,45.3
12-1910,46.0
01-1911,46.0
02-1911,46.2
03-1911,46.0
04-1911,45.6
05-1911,45.1
06-1911,45.2
07-1911,45.3
08-1911,45.4
09-1911,45.3
10-1911,45.1
11-1911,44.9
12-1911,44.7
01-1912,44.7
02-1912,45.2
03-1912,44.9
04-1912,45.1
05-1912,45.4
06-1912,45.6
07-1912,45.4
08-1912,45.3
09-1912,45.3
10-1912,45.1
11-1912,45.4
12-1912,45.5
01-1913,45.3
02-1913,44.6
03-1913,44.4
04-1913,44.5
05-1913,44.3
06-1913,44.2
07-1913,44.2
08-1913,44.5
09-1913,44.7
10-1913,44.7
11-1913,44.7
12-1913,44.7
01-1914,45.4
02-1914,45.9
03-1914,46.4
04-1914,46.6
05-1914,46.8
06-1914,46.7
07-1914,46.8
08-1914,46.8
09-1914,46.7
10-1914,47.0
11-1914,47.1
12-1914,46.5
01-1915,46.0
02-1915,46.3
03-1915,46.5
04-1915,46.7
05-1915,46.5
06-1915,46.6
07-1915,46.4
08-1915,46.7
09-1915,46.8
10-1915,46.8
11-1915,46.4
12-1915,46.9
01-1916,46.0
02-1916,45.6
03-1916,45.2
04-1916,44.8
05-1916,44.5
06-1916,44.4
07-1916,44.2
08-1916,43.8
09-1916,43.9
10-1916,43.6
11-1916,43.4
12-1916,43.0
01-1917,43.8
02-1917,43.7
03-1917,43.2
04-1917,42.9
05-1917,43.1
06-1917,43.0
07-1917,43.3
08-1917,43.5
09-1917,43.6
10-1917,43.9
11-1917,44.6
12-1917,45.5
01-1918,46.0
02-1918,46.1
03-1918,46.6
04-1918,46.9
05-1918,46.9
06-1918,47.4
07-1918,47.4
08-1918,47.1
09-1918,47.4
10-1918,47.5
11-1918,47.1
12-1918,46.8
01-1919,46.6
02-1919,46.7
03-1919,46.7
04-1919,46.7
05-1919,46.8
06-1919,46.3
07-1919,46.3
08-1919,46.5
09-1919,46.1
10-1919,45.6
11-1919,45.4
12-1919,44.8
01-1920,44.6
02-1920,44.7
03-1920,44.7
04-1920,44.3
05-1920,44.1
06-1920,44.2
07-1920,44.3
08-1920,44.4
09-1920,44.3
10-1920,44.5
11-1920,44.7
12-1920,45.5
01-1921,45.6
02-1921,45.6
03-1921,45.7
04-1921,45.8
05-1921,46.1
06-1921,46.4
07-1921,46.1
08-1921,46.0
09-1921,45.7
10-1921,46.0
11-1921,45.9
12-1921,45.5
01-1922,44.8
02-1922,44.1
03-1922,43.8
04-1922,43.7
05-1922,43.6
06-1922,43.9
07-1922,44.1
08-1922,44.2
09-1922,44.7
10-1922,44.7
11-1922,44.5
12-1922,44.2
01-1923,45.0
02-1923,45.1
03-1923,45.3
04-1923,45.7
05-1923,45.7
06-1923,45.3
07-1923,45.3
08-1923,45.4
09-1923,45.4
10-1923,45.4
11-1923,45.8
12-1923,46.4
01-1924,45.9
02-1924,46.9
03-1924,47.0
04-1924,46.8
05-1924,47.2
06-1924,47.4
07-1924,47.3
08-1924,47.1
09-1924,47.0
10-1924,46.9
11-1924,46.5
12-1924,46.0
01-1925,46.4
02-1925,46.3
03-1925,46.4
04-1925,46.7
05-1925,46.6
06-1925,46.6
07-1925,46.8
08-1925,46.8
09-1925,46.8
10-1925,46.7
11-1925,46.8
12-1925,47.8
01-1926,47.7
02-1926,47.8
03-1926,48.1
04-1926,48.3
05-1926,48.1
06-1926,48.3
07-1926,48.2
08-1926,48.3
09-1926,47.9
10-1926,48.1
11-1926,48.4
12-1926,47.9
01-1927,47.6
02-1927,47.2
03-1927,46.7
04-1927,46.1
05-1927,45.8
06-1927,45.6
07-1927,45.5
08-1927,45.5
09-1927,45.8
10-1927,45.7
11-1927,45.6
12-1927,45.1
01-1928,45.3
02-1928,45.3
03-1928,45.5
04-1928,45.5
05-1928,46.1
06-1928,46.0
07-1928,46.1
08-1928,46.0
09-1928,46.2
10-1928,46.1
11-1928,46.1
12-1928,46.4
01-1929,45.7
02-1929,44.8
03-1929,44.7
04-1929,44.6
05-1929,44.2
06-1929,44.2
07-1929,44.0
08-1929,44.2
09-1929,44.1
10-1929,44.3
11-1929,44.1
12-1929,44.4
01-1930,44.0
02-1930,45.1
03-1930,45.2
04-1930,45.7
05-1930,45.6
06-1930,45.5
07-1930,45.6
08-1930,45.7
09-1930,45.8
10-1930,45.4
11-1930,45.4
12-1930,45.2
01-1931,46.7
02-1931,46.5
03-1931,46.5
04-1931,46.3
05-1931,46.7
06-1931,46.8
07-1931,46.9
08-1931,46.8
09-1931,46.6
10-1931,46.8
11-1931,46.7
12-1931,46.5
01-1932,45.9
02-1932,45.6
03-1932,45.5
04-1932,45.4
05-1932,45.1
06-1932,45.3
07-1932,44.9
08-1932,44.8
09-1932,44.9
10-1932,45.0
11-1932,45.6
12-1932,45.5
01-1933,45.8
02-1933,45.4
03-1933,45.3
04-1933,45.2
05-1933,44.9
06-1933,44.7
07-1933,44.9
08-1933,45.1
09-1933,44.7
10-1933,44.8
11-1933,44.7
12-1933,45.4
01-1934,45.9
02-1934,47.0
03-1934,47.6
04-1934,48.3
05-1934,48.9
06-1934,49.0
07-1934,49.0
08-1934,49.0
09-1934,49.2
10-1934,49.2
11-1934,49.4
12-1934,49.1
01-1935,48.6
02-1935,48.3
03-1935,47.5
04-1935,46.8
05-1935,46.5
06-1935,46.4
07-1935,46.4
08-1935,46.2
09-1935,46.5
10-1935,46.2
11-1935,45.5
12-1935,45.4
01-1936,45.6
02-1936,44.3
03-1936,44.4
04-1936,44.8
05-1936,45.2
06-1936,45.3
07-1936,45.4
08-1936,45.6
09-1936,45.3
10-1936,45.7
11-1936,45.8
12-1936,45.9
01-1937,44.5
02-1937,45.2
03-1937,45.5
04-1937,45.1
05-1937,44.8
06-1937,44.8
07-1937,44.8
08-1937,44.6
09-1937,44.7
10-1937,44.8
11-1937,45.2
12-1937,45.2
01-1938,46.7
02-1938,47.0
03-1938,46.9
04-1938,47.1
05-1938,47.2
06-1938,47.3
07-1938,47.5
08-1938,47.5
09-1938,47.8
10-1938,47.7
11-1938,47.2
12-1938,47.1
01-1939,47.3
02-1939,47.1
03-1939,47.1
04-1939,47.3
05-1939,47.3
06-1939,46.9
07-1939,46.7
08-1939,47.1
09-1939,46.7
10-1939,46.7
11-1939,47.1
12-1939,47.5
01-1940,47.3
02-1940,47.8
03-1940,48.1
04-1940,48.1
05-1940,48.2
06-1940,48.7
07-1940,48.7
08-1940,48.6
09-1940,48.8
10-1940,49.0
11-1940,48.4
12-1940,48.1
01-1941,48.2
02-1941,48.3
03-1941,48.5
04-1941,48.6
05-1941,48.3
06-1941,48.0
07-1941,48.3
08-1941,48.2
09-1941,47.6
10-1941,47.4
11-1941,47.9
12-1941,47.9
01-1942,47.4
02-1942,47.1
03-1942,46.6
04-1942,46.5
05-1942,46.4
06-1942,46.2
07-1942,46.0
08-1942,46.3
09-1942,46.7
10-1942,46.9
11-1942,46.5
12-1942,46.4
01-1943,46.1
02-1943,46.1
03-1943,45.9
04-1943,45.9
05-1943,45.8
06-1943,45.7
07-1943,45.6
08-1943,45.2
09-1943,45.3
10-1943,45.2
11-1943,45.5
12-1943,45.4
01-1944,45.9
02-1944,45.8
03-1944,45.9
04-1944,45.8
05-1944,46.1
06-1944,46.3
07-1944,46.4
08-1944,46.4
09-1944,46.4
10-1944,46.8
11-1944,46.7
12-1944,46.5
01-1945,46.8
02-1945,47.0
03-1945,47.0
04-1945,46.8
05-1945,46.9
06-1945,46.7
07-1945,46.8
08-1945,46.9
09-1945,46.6
10-1945,46.3
11-1945,46.2
12-1945,46.3
01-1946,46.2
02-1946,46.1
03-1946,46.2
04-1946,46.4
05-1946,46.5
06-1946,46.5
07-1946,46.4
08-1946,46.3
09-1946,46.4
10-1946,45.9
11-1946,45.8
12-1946,45.9
01-1947,45.5
02-1947,45.7
03-1947,45.9
04-1947,46.1
05-1947,46.2
06-1947,46.3
07-1947,46.3
08-1947,46.1
09-1947,46.2
10-1947,46.6
11-1947,46.9
12-1947,47.0
01-1948,47.2
02-1948,46.8
03-1948,46.3
04-1948,45.8
05-1948,45.3
06-1948,45.7
07-1948,45.5
08-1948,45.5
09-1948,45.3
10-1948,45.1
11-1948,45.0
12-1948,44.3
01-1949,43.1
02-1949,42.9
03-1949,43.1
04-1949,43.5
05-1949,43.9
06-1949,43.5
07-1949,43.6
08-1949,43.8
09-1949,44.0
10-1949,43.9
11-1949,44.4
12-1949,44.9
01-1950,44.7
02-1950,45.0
03-1950,44.8
04-1950,44.4
05-1950,43.9
06-1950,44.0
07-1950,44.1
08-1950,44.3
09-1950,44.2
10-1950,44.4
11-1950,43.9
12-1950,44.3
01-1951,45.7
02-1951,45.8
03-1951,45.6
