Year,Avg. Temperature (F),10-Year Rolling Average Temperature,Avg. Temperature (C)
1895,45.2,45.2,7.333333333
1896,45.4,45.3,7.444444444
1897,45.217,45.272,7.342592593
1898,45.717,45.383,7.62037037
1899,44.65,45.237,7.027777778
1900,46.892,45.513,8.273148148
1901,45.8,45.554,7.666666667
1902,45.908,45.598,7.726851852
1903,44.917,45.522,7.175925926
1904,45.567,45.527,7.537037037
1905,46.85,45.692,8.25
1906,46.292,45.781,7.939814815
1907,45.292,45.788,7.384259259
1908,46.2,45.837,7.888888889
1909,44.925,45.864,7.180555556
1910,45.192,45.694,7.328703704
1911,45.4,45.654,7.444444445
1912,45.242,45.588,7.356481482
1913,44.567,45.553,6.981481482
1914,46.558,45.652,8.087962963
1915,46.55,45.622,8.083333333
1916,44.367,45.429,6.87037037
1917,43.675,45.268,6.486111111
1918,46.933,45.341,8.296296296
1919,46.208,45.469,7.893518518
1920,44.525,45.403,6.958333333
1921,45.867,45.449,7.703703704
1922,44.192,45.344,6.773148148
1923,45.483,45.436,7.490740741
1924,46.833,45.463,8.240740741
1925,46.725,45.481,8.180555555
1926,48.092,45.853,8.939814815
1927,46.017,46.088,7.787037037
1928,45.883,45.983,7.712962963
1929,44.442,45.806,6.912037037
1930,45.35,45.888,7.416666667
1931,46.65,45.967,8.138888889
1932,45.292,46.077,7.384259259
1933,45.075,46.036,7.263888889
1934,48.467,46.199,9.148148148
1935,46.692,46.196,8.162037037
1936,45.275,45.914,7.375
1937,44.933,45.806,7.185185185
1938,47.25,45.943,8.472222222
1939,47.067,46.205,8.37037037
1940,48.317,46.502,9.064814815
1941,48.1,46.647,8.944444445
1942,46.583,46.776,8.101851852
1943,45.642,46.833,7.578703704
1944,46.25,46.611,7.916666667
1945,46.692,46.611,8.162037037
1946,46.217,46.705,7.898148148
1947,46.233,46.835,7.907407407
1948,45.65,46.675,7.583333333
1949,43.717,46.34,6.509259259
1950,44.333,45.942,6.851851852
1951,46.008,45.733,7.782407407
1952,45.375,45.612,7.430555555
1953,47.192,45.767,8.439814815
1954,45.867,45.728,7.703703704
1955,44.442,45.503,6.912037037
1956,44.167,45.298,6.759259259
1957,45.042,45.179,7.24537037
1958,48.317,45.446,9.064814815
1959,46.917,45.766,8.287037037
1960,45.325,45.865,7.402777778
1961,47.033,45.968,8.351851852
1962,45.725,46.003,7.625
1963,46.55,45.938,8.083333333
1964,46.117,45.963,7.842592593
1965,45.442,46.063,7.467592593
1966,46.75,46.322,8.194444444
1967,47.667,46.584,8.703703704
1968,47.375,46.49,8.541666666
1969,45,46.298,7.222222222
1970,46.483,46.414,8.046296296
1971,45.575,46.268,7.541666666
1972,45.208,46.217,7.337962963
1973,45.908,46.153,7.726851852
1974,46.333,46.174,7.962962963
1975,45.917,46.222,7.731481482
1976,45.792,46.126,7.662037037
1977,46.292,45.988,7.939814815
1978,46.55,45.906,8.083333333
1979,44.958,45.902,7.199074074
1980,46.5,45.903,8.055555555
1981,47.367,46.083,8.537037037
1982,46.075,46.169,7.819444444
1983,46.908,46.269,8.282407407
1984,45.725,46.208,7.625
1985,44.5,46.067,6.944444445
1986,45.475,46.035,7.486111111
1987,47.75,46.181,8.75
1988,47.558,46.282,8.643518519
1989,46.633,46.449,8.12962963
1990,47.667,46.566,8.703703704
1991,46.717,46.501,8.175925926
1992,48.833,46.777,9.351851852
1993,45.967,46.683,7.759259259
1994,47.475,46.858,8.597222222
1995,47.5,47.158,8.611111111
1996,46.442,47.254,8.023148148
1997,46.183,47.098,7.87962963
1998,48.175,47.159,8.986111111
1999,47.475,47.243,8.597222222
2000,46.992,47.176,8.328703704
2001,46.108,47.115,7.837962963
2002,46.892,46.921,8.273148148
2003,48.017,47.126,8.898148148
2004,48.033,47.182,8.907407407
2005,48.183,47.25,8.990740741
2006,47.325,47.338,8.513888889
2007,47.05,47.425,8.361111111
2008,46.017,47.209,7.787037037
2009,46.192,47.081,7.884259259
2010,47.108,47.093,8.393518519
2011,45.683,47.05,7.601851852
2012,46.325,46.993,7.958333333
2013,47.408,46.933,8.560185185
2014,47.475,46.877,8.597222222
2015,49.942,47.053,9.967592593
2016,49.25,47.245,9.583333333
2017,46.792,47.219,8.217592593
2018,47.892,47.407,8.828703704
2019,47.033,47.491,8.351851852
2020,47.475,47.528,8.597222222
2021,48.283,47.788,9.046296296
2022,47.542,47.909,8.634259259
2023,47.517,47.92,8.62037037
2024,48.417,48.014,9.12037037
2025,48.492,47.869,9.162037037
2026,49.4,47.884,9.666666667
