#  Washington 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
Date,Value
189512,45.2
189601,45.5
189602,45.6
189603,45.5
189604,45.2
189605,45.1
189606,45
189607,45.4
189608,45.5
189609,45.7
189610,45.7
189611,45.2
189612,45.4
189701,45.2
189702,44.9
189703,44.5
189704,45
189705,45.6
189706,45.5
189707,45
189708,45.3
189709,45.3
189710,45.3
189711,45.7
189712,45.3
189801,45.2
189802,45.6
189803,45.9
189804,45.8
189805,45.5
189806,45.5
189807,45.8
189808,45.8
189809,46
189810,45.9
189811,45.9
189812,45.7
189901,45.9
189902,45.2
189903,45.2
189904,45
189905,44.6
189906,44.4
189907,44.5
189908,43.8
189909,43.8
189910,43.8
189911,44.5
189912,45.1
190001,45.5
190002,45.8
190003,46.4
190004,46.7
190005,47.1
190006,47.6
190007,47.5
190008,47.6
190009,47.4
190010,47.4
190011,46.7
190012,47
190101,46.6
190102,46.5
190103,46.2
190104,45.8
190105,45.8
190106,45.2
190107,45
190108,45.4
190109,45.3
190110,45.8
190111,46.2
190112,45.8
190201,45.8
190202,46.1
190203,46
190204,46
190205,46
190206,46.2
190207,46.2
190208,45.9
190209,46.1
190210,45.8
190211,45.5
190212,45.3
190301,45.5
190302,45
190303,44.8
190304,44.7
190305,44.6
190306,45
190307,45
190308,45
190309,44.9
190310,44.8
190311,44.8
190312,44.9
190401,44.9
190402,45.1
190403,45
190404,45.4
190405,45.4
190406,45.1
190407,45.4
190408,45.5
190409,45.9
190410,46
190411,46.5
190412,46.6
190501,46.5
190502,46.6
190503,47.3
190504,47.2
190505,47.2
190506,47.2
190507,47.3
190508,47.2
190509,47.1
190510,46.6
190511,46.1
190512,45.9
190601,46
190602,46.3
190603,45.8
190604,46
190605,46.1
190606,45.9
190607,46.3
190608,46.3
190609,46.3
190610,46.8
190611,46.8
190612,46.9
190701,45.9
190702,45.8
190703,45.7
190704,45.3
190705,45.4
190706,45.6
190707,45.1
190708,44.7
190709,44.7
190710,44.9
190711,45.2
190712,45.2
190801,46.2
190802,46.1
190803,46.2
190804,46.4
190805,46
190806,46
190807,46.2
190808,46.5
190809,46.5
190810,46.2
190811,46.2
190812,45.9
190901,45.1
190902,45.2
190903,45.3
190904,45.1
190905,45.1
190906,45.2
190907,44.8
190908,44.7
190909,44.8
190910,44.9
190911,44.6
190912,44.3
191001,44.8
191002,44.3
191003,44.6
191004,45
191005,45.4
191006,45.3
191007,45.6
191008,45.4
191009,45.2
