#  Washington 12-Month Period Average Temperature,F2
,
,
12/1/1895,45.2
1/1/1896,45.5
2/1/1896,45.6
3/1/1896,45.5
4/1/1896,45.2
5/1/1896,45.1
6/1/1896,45
7/1/1896,45.4
8/1/1896,45.5
9/1/1896,45.7
10/1/1896,45.7
11/1/1896,45.2
12/1/1896,45.4
1/1/1897,45.2
2/1/1897,44.9
3/1/1897,44.5
4/1/1897,45
5/1/1897,45.6
6/1/1897,45.5
7/1/1897,45
8/1/1897,45.3
9/1/1897,45.3
10/1/1897,45.3
11/1/1897,45.7
12/1/1897,45.3
1/1/1898,45.2
2/1/1898,45.6
3/1/1898,45.9
4/1/1898,45.8
5/1/1898,45.5
6/1/1898,45.5
7/1/1898,45.8
8/1/1898,45.8
9/1/1898,46
10/1/1898,45.9
11/1/1898,45.9
12/1/1898,45.7
1/1/1899,45.9
2/1/1899,45.2
3/1/1899,45.2
4/1/1899,45
5/1/1899,44.6
6/1/1899,44.4
7/1/1899,44.5
8/1/1899,43.8
9/1/1899,43.8
10/1/1899,43.8
11/1/1899,44.5
12/1/1899,45.1
1/1/1900,45.5
2/1/1900,45.8
3/1/1900,46.4
4/1/1900,46.7
5/1/1900,47.1
6/1/1900,47.6
7/1/1900,47.5
8/1/1900,47.6
9/1/1900,47.4
10/1/1900,47.4
11/1/1900,46.7
12/1/1900,47
1/1/1901,46.6
2/1/1901,46.5
3/1/1901,46.2
4/1/1901,45.8
5/1/1901,45.8
6/1/1901,45.2
7/1/1901,45
8/1/1901,45.4
9/1/1901,45.3
10/1/1901,45.8
11/1/1901,46.2
12/1/1901,45.8
1/1/1902,45.8
2/1/1902,46.1
3/1/1902,46
4/1/1902,46
5/1/1902,46
6/1/1902,46.2
7/1/1902,46.2
8/1/1902,45.9
9/1/1902,46.1
10/1/1902,45.8
11/1/1902,45.5
12/1/1902,45.3
1/1/1903,45.5
2/1/1903,45
3/1/1903,44.8
4/1/1903,44.7
5/1/1903,44.6
6/1/1903,45
7/1/1903,45
8/1/1903,45
9/1/1903,44.9
10/1/1903,44.8
11/1/1903,44.8
12/1/1903,44.9
1/1/1904,44.9
2/1/1904,45.1
3/1/1904,45
4/1/1904,45.4
5/1/1904,45.4
6/1/1904,45.1
7/1/1904,45.4
8/1/1904,45.5
9/1/1904,45.9
10/1/1904,46
11/1/1904,46.5
12/1/1904,46.6
1/1/1905,46.5
2/1/1905,46.6
3/1/1905,47.3
4/1/1905,47.2
5/1/1905,47.2
6/1/1905,47.2
7/1/1905,47.3
8/1/1905,47.2
9/1/1905,47.1
10/1/1905,46.6
11/1/1905,46.1
12/1/1905,45.9
1/1/1906,46
2/1/1906,46.3
3/1/1906,45.8
4/1/1906,46
5/1/1906,46.1
6/1/1906,45.9
7/1/1906,46.3
8/1/1906,46.3
9/1/1906,46.3
10/1/1906,46.8
11/1/1906,46.8
12/1/1906,46.9
1/1/1907,45.9
2/1/1907,45.8
3/1/1907,45.7
4/1/1907,45.3
5/1/1907,45.4
6/1/1907,45.6
7/1/1907,45.1
8/1/1907,44.7
9/1/1907,44.7
10/1/1907,44.9
11/1/1907,45.2
12/1/1907,45.2
1/1/1908,46.2
2/1/1908,46.1
